title,type,code,url,cover_url,cover_alt
Chroniques de l'administration publique,Revue,Institut national du service public,https://droit.cairn.info/revue-chroniques-de-l-administration-publique?lang=fr,https://shs.cairn.info/numero/CDAP_006/cover/thumbnail?lang=fr,Couverture de CDAP_006
"Bankers, Markets & Investors",Revue,ESKA,https://shs.cairn.info/revue-bankers-markets-et-investors?lang=fr,https://shs.cairn.info/numero/BMI_176/cover/thumbnail?lang=fr,Couverture de BMI_176
Population & Sociétés,Revue,Ined Éditions,https://shs.cairn.info/revue-population-et-societes?lang=fr,https://shs.cairn.info/numero/POPSOC_626/cover/thumbnail?lang=fr,Couverture de POPSOC_626
Revue du Nord,Revue,Association Revue du Nord,https://shs.cairn.info/revue-du-nord?lang=fr,https://shs.cairn.info/numero/RDN_449/cover/thumbnail?lang=fr,Couverture de RDN_449
Les Cahiers de l’Actif,Revue,Éditions Actif,https://shs.cairn.info/revue-cahiers-de-l-actif?lang=fr,https://shs.cairn.info/numero/CAAC_574/cover/thumbnail?lang=fr,Couverture de CAAC_574
Éducation & formations,Revue,DEPP – MENJ / SIES – MESR,https://shs.cairn.info/revue-education-et-formations?lang=fr,https://shs.cairn.info/numero/EDFO_106/cover/thumbnail?lang=fr,Couverture de EDFO_106
Annales de Bourgogne,Revue,Éditions Universitaires de Dijon,https://shs.cairn.info/revue-annales-de-bourgogne?lang=fr,https://shs.cairn.info/numero/ANBO_241/cover/thumbnail?lang=fr,Couverture de ANBO_241
Revue CONFLUENCE : Sciences & Humanités,Revue,Unité de Recherche CONFLUENCE : Sciences et Humanités [EA 1598] - UCLy,https://shs.cairn.info/revue-confluence?lang=fr,https://shs.cairn.info/numero/CONFL_006/cover/thumbnail?lang=fr,Couverture de CONFL_006
Cahiers de la sécurité et de la justice,Revue,Institut des hautes études du ministère de l’Intérieur,https://shs.cairn.info/revue-cahiers-de-la-securite-et-de-la-justice?lang=fr,https://shs.cairn.info/numero/CSJ_059/cover/thumbnail?lang=fr,Couverture de CSJ_059
Afrique(s) en mouvement,Revue,Université Internationale de Rabat,https://shs.cairn.info/revue-afrique-en-mouvement?lang=fr,https://shs.cairn.info/numero/AEM_007/cover/thumbnail?lang=fr,Couverture de AEM_007
Habitante,Revue,Audimat Éditions,https://shs.cairn.info/revue-habitante?lang=fr,https://shs.cairn.info/numero/HABI_005/cover/thumbnail?lang=fr,Couverture de HABI_005
Cahiers de danse,Revue,La Briqueterie / CDCN du Val-de-Marne,https://shs.cairn.info/revue-cahiers-de-danse?lang=fr,https://shs.cairn.info/numero/CDD_001A/cover/thumbnail?lang=fr,Couverture de CDD_001A
Germinal,Revue,Éditions Le Bord de l’eau,https://shs.cairn.info/revue-germinal?lang=fr,https://shs.cairn.info/numero/GER_007/cover/thumbnail?lang=fr,Couverture de GER_007
Cahiers de Conflits,Revue,Revue Conflits,https://shs.cairn.info/revue-cahiers-de-conflits?lang=fr,https://shs.cairn.info/numero/CDC_243/cover/thumbnail?lang=fr,Couverture de CDC_243
Thérapie Psychomotrice et Recherches,Revue,Syndicat National d'Union des Psychomotriciens (SNUP),https://shs.cairn.info/revue-therapie-psychomotrice-et-recherches?lang=fr,https://shs.cairn.info/numero/TPR_188/cover/thumbnail?lang=fr,Couverture de TPR_188
Présence haptonomique,Revue,CIRDH – Frans Veldman,https://shs.cairn.info/revue-presence-haptonomique?lang=fr,https://shs.cairn.info/numero/PH_003/cover/thumbnail?lang=fr,Couverture de PH_003
La Géographie,Revue,Société de Géographie,https://shs.cairn.info/revue-la-geographie?lang=fr,https://shs.cairn.info/numero/GEO_1594/cover/thumbnail?lang=fr,Couverture de GEO_1594
Le Regard Libre,Revue,Le regard libre,https://shs.cairn.info/revue-regard-libre?lang=fr,https://shs.cairn.info/numero/REGLI_108/cover/thumbnail?lang=fr,Couverture de REGLI_108
Revue d’histoire de l’enfance « irrégulière »,Revue,Anamosa,https://shs.cairn.info/revue-d-histoire-de-l-enfance-irreguliere?lang=fr,https://shs.cairn.info/numero/RHEI_025/cover/thumbnail?lang=fr,Couverture de RHEI_025
Revue Historique des Armées,Revue,Service Historique de la Défense,https://shs.cairn.info/revue-historique-des-armees?lang=fr,https://shs.cairn.info/numero/RHA_314/cover/thumbnail?lang=fr,Couverture de RHA_314
Études Durkheimiennes,Revue,Berghahn Books,https://shs.cairn.info/revue-etudes-durkheimiennes?lang=fr,https://shs.cairn.info/numero/DURK_271/cover/thumbnail?lang=fr,Couverture de DURK_271
